"","Country","Category","Total"
"1","Canada","TotalLikes",1618179878
"2","France","TotalLikes",708144090
"3","Germany","TotalLikes",893395538
"4","Great Britain","TotalLikes",5234962944
"5","USA","TotalLikes",3041147198
"6","Canada","TotalDislikes",82137919
"7","France","TotalDislikes",33188528
"8","Germany","TotalDislikes",57059031
"9","Great Britain","TotalDislikes",296250384
"10","USA","TotalDislikes",151978155
"11","Canada","TotalComments",205960623
"12","France","TotalComments",74503667
"13","Germany","TotalComments",113207598
"14","Great Britain","TotalComments",509245601
"15","USA","TotalComments",345818518
"16","Canada","TotalMonetization",325543815.926
"17","France","TotalMonetization",117687975.083
"18","Germany","TotalMonetization",169915619.671
"19","Great Britain","TotalMonetization",1593412480.429
"20","USA","TotalMonetization",671823192.089
